WT8043-WELTREND,"14,73 € (110,98 kn)",IC,2  - ima na lageru
WS82C55AG-5P,"0,00 € (0,00 kn)",IC=UPD8255C2,0  - pošalji upit
W29C040T-WINBOND,"10,62 € (80,02 kn)",IC-SMD 32 PIN,10  - ima na lageru
W29C040T-90,"0,00 € (0,00 kn)",IC=AT29C040A-12TI=10TI,0  - pošalji upit
W28Q32BVSSIG,"3,28 € (24,71 kn)",IC,20  - ima na lageru
W25Q80BVSIG-WINBOND(SO8),"3,45 € (25,99 kn)",IC-SMD(SO8),20  - ima na lageru
W25Q80BVAIG-WINBOND(DIP8),"2,21 € (16,65 kn)",IC(DIP8),8  - ima na lageru
W25Q64FVS1G-WINBOND(SO8),"2,65 € (19,97 kn)",IC-SMD(SO8),0  - pošalji upit
W25Q64BVSIG-WIN,"4,65 € (35,04 kn)",IC(SO8),5  - ima na lageru
W25Q32FVSIG-WINBOND,"3,08 € (23,21 kn)",IC SOP8,1  - ima na lageru
W25Q32BVSSIG-WIN,"3,84 € (28,93 kn)",IC-SMD(SO8),15  - ima na lageru
W25Q32BVSIG-WIN,"1,99 € (14,99 kn)",IC(SO8),0  - pošalji upit
W25Q16DWBYIG(WLCSP8),"1,77 € (13,34 kn)",IC,5  - ima na lageru
W25Q128FVSSIG-WIN,"4,38 € (33,00 kn)",IC(SOP8),10  - ima na lageru
W25Q128BVFG-WIN,"3,98 € (29,99 kn)",IC(SO8),4  - ima na lageru
YDA147-SZE2-YAMAHA,"14,03 € (105,71 kn)",IC-SMDTQFP48),1  - ima na lageru
YD8227,"0,00 € (0,00 kn)",IC=TA8227,0  - pošalji upit
YD8207=TA8207,"0,00 € (0,00 kn)",IC,0  - pošalji upit
YD1028(TO220-9),"8,25 € (62,16 kn)",IC-18W CAR POWER AMP.,2  - ima na lageru
XRP7675-MAXLINE,"2,65 € (19,97 kn)","IC-STEP DOWN REGULATOR IN. 4,5-18V OUT 1",0  - pošalji upit
XRA6887,"0,00 € (0,00 kn)",IC,0  - pošalji upit
XRA6459,"0,00 € (0,00 kn)",IC=BA6459FS,0  - pošalji upit
XRA6435,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0  - pošalji upit
XRA6430,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0  - pošalji upit
XR8038CP,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0  - pošalji upit
XR4151CP,"0,00 € (0,00 kn)",,0  - pošalji upit
XR3403,"0,00 € (0,00 kn)",INTEGRIRANI KRUG=LM324,0  - pošalji upit
XR2567CP-MBR,"7,83 € (59,00 kn)",INTEGRIRANI KRUG,2  - ima na lageru
XR2264CP-MBR,"13,21 € (99,53 kn)",IC(DIP14),1  - ima na lageru
XR2211CP-MBR,"8,49 € (63,97 kn)",IC(DIP14),10  - ima na lageru
XR2209CP-MBR,"6,78 € (51,08 kn)",IC(DIP8),3  - ima na lageru
XR2206D-SMD-EXAR,"11,29 € (85,06 kn)",IC-SMD(SOIC),12  - ima na lageru
XR2206CP-MBR,"11,29 € (85,06 kn)",IC(DIP16),6  - ima na lageru
XR2205,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0  - pošalji upit
XR2204CP,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0  - pošalji upit
XR2203CP,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0  - pošalji upit
XR2201,"0,00 € (0,00 kn)",IC=ULN2001,0  - pošalji upit
XR2003,"0,00 € (0,00 kn)",IC=ULN2003AN,0  - pošalji upit
XPT9911,"8,63 € (65,02 kn)",IC-12W SINGLE CH. POWER AMP. (SO16),5  - ima na lageru
XO0933,"0,00 € (0,00 kn)",IC=IX0933,0  - pošalji upit
XLS93LC66P,"0,00 € (0,00 kn)",IC=93C66,0  - pošalji upit
XL7015E1-XLSEMI(TO252-5),"4,65 € (35,04 kn)",IC,15  - ima na lageru
XL4005E1-XLSEMI(TO252-5),"4,65 € (35,04 kn)",IC,3  - ima na lageru
XFMK606001,"3,98 € (29,99 kn)",IC=MAB8441PT063+PREINAKA,1  - ima na lageru
XC94308P,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0  - pošalji upit
XC89504,"0,00 € (0,00 kn)",IC=ZC89504,0  - pošalji upit
XC89501P,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0  - pošalji upit
XC88655P,"0,00 € (0,00 kn)",IC=ZC88655P,0  - pošalji upit
XC88621P,"8,63 € (65,02 kn)",IC,3  - ima na lageru
XC88607P-MOT,"0,00 € (0,00 kn)",IC=XC86607P,0  - pošalji upit
XC86625P,"0,00 € (0,00 kn)",IC=8305686625,0  - pošalji upit
XC86625P,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0  - pošalji upit
XC86622P-MOT,"0,00 € (0,00 kn)",IC,0  - pošalji upit
XC86622P,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0  - pošalji upit
XC86621P,"0,00 € (0,00 kn)",IC=ZC86621P,0  - pošalji upit
XC86617P,"9,29 € (70,00 kn)",INTEGRIRANI KRUG,0  - pošalji upit
XC86607P-MOT,"7,23 € (54,47 kn)",INTEGRIRANI KRUG,0  - pošalji upit
XC86602P,"0,00 € (0,00 kn)",IC,0  - pošalji upit
XC86601P,"0,00 € (0,00 kn)",IC=ZC86621P,0  - pošalji upit
XC6206P142MR-TOREX,"1,14 € (8,59 kn)",IC(SOT23),10  - ima na lageru
XC6203E-TS,"2,00 € (15,07 kn)",IC LDO VOLTAGE REGULATOR 400mA (SOT89-3),0  - pošalji upit
XC411875,"0,00 € (0,00 kn)",IC=ZC411875P,0  - pošalji upit
XC410954,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0  - pošalji upit
XC410908,"0,00 € (0,00 kn)",INTEGRIRANI KRUG,0  - pošalji upit
ZXTC2045E6-SMD,"2,65 € (19,97 kn)",IC-TR NPN+PNP DUAL BIPOLAR TR.(SOT23-6),8  - ima na lageru
ZXLD1360ET5TA-DI,"3,32 € (25,01 kn)",IC,10  - ima na lageru
ZRC250F02TA-DI(SOT23-3),"3,53 € (26,60 kn)",IC-SMD-VOLTAGE REFERENCE 2.5V 2%,15  - ima na lageru
ZN426,"0,00 € (0,00 kn)","8-BIT,TTL/CMOS",0  - pošalji upit
ZC89504,"32,52 € (245,02 kn)",IC=8305689504,0  - pošalji upit
ZC88655P,"11,95 € (90,04 kn)",IC,0  - pošalji upit
ZC88621,"0,00 € (0,00 kn)",IC=XC88654P,0  - pošalji upit
ZC86625,"0,00 € (0,00 kn)",IC,0  - pošalji upit
ZC86622,"35,77 € (269,51 kn)",IC=8305686625=XC86625,0  - pošalji upit
ZC86621P,"11,95 € (90,04 kn)",IC,0  - pošalji upit
Z84C00BB6,"5,06 € (38,12 kn)",IC(DIP48),2  - ima na lageru
Z8400AB1-ST(DIP40)-USED,"10,08 € (75,95 kn)",IC,1  - ima na lageru
VSP2860DIP-ITT,"9,29 € (70,00 kn)",INTEGRIRANI KRUG,2  - ima na lageru
VPS10,"17,52 € (132,00 kn)",IC-SIL,1  - ima na lageru
VPG101/T,"7,30 € (55,00 kn)",IC,1  - ima na lageru
VPC3210A-G10,"0,00 € (0,00 kn)",IC-SMD,0  - pošalji upit
VP3082-TI(SO8),"6,50 € (48,97 kn)",IC-SMD,16  - ima na lageru
VNQ860SP-ST,"7,30 € (55,00 kn)",IC DRIVER HIGH-SIDE 250mA 90W CH:4(SO10),2  - ima na lageru
